#slamdunk v0.2.4	3	sample info:	chase_12h_R3_34527	44	chase	720
#annotation:	170614custom_mESCannotation_counting_Thomas.bed	5a451868b8f3be84e2040f5872bce883
Chromosome	Start	End	Name	Length	Strand	ConversionRate	ReadsCPM	Tcontent	CoverageOnTs	ConversionsOnTs	ReadCount	TcReadCount	multimapCount	ConversionRateLower	ConversionRateUpper
chr18	38262373	38262629	0610009O20Rik	256	+	0.00663570006636	21.9741684146	61	3014	20	289	20	0	-1.0	-1.0
chr2	175656519	175656769	0610010B08Rik	250	+	0.0	0.228105554477	72	24	0	3	0	3	-1.0	-1.0
chr2	175754078	175754328	0610010B08Rik	250	+	0	0	72	0	0	0	0	0	-1.0	-1.0
chr6	72352897	72353160	0610030E20Rik	263	+	0.0	6.38695552535	77	779	0	84	0	0	-1.0	-1.0
chr4	107896865	107897117	0610037L13Rik	252	+	0.00355149670218	16.4235999223	59	1971	7	216	6	0	-1.0	-1.0
chr4	107897552	107897803	0610037L13Rik	251	+	0.0	1.74880925099	69	230	0	23	0	0	-1.0	-1.0
chr8	77518328	77518578	0610038B21Rik	250	+	0.0	1.44466851169	75	166	0	19	0	0	-1.0	-1.0
chr2	163645550	163645800	0610039K10Rik	250	+	0	0	73	0	0	0	0	0	-1.0	-1.0
chr5	63899369	63899619	0610040J01Rik	250	+	0.0	0.532246293779	82	88	0	7	0	0	-1.0	-1.0
chr4	101398935	101399185	0610043K17Rik	250	+	0	0	53	0	0	0	0	0	-1.0	-1.0
chr7	116104427	116104681	1110004F10Rik	254	+	0.0	5.85470923157	84	819	0	77	0	57	-1.0	-1.0
chr7	116104957	116105210	1110004F10Rik	253	+	0.00175824175824	24.1791887745	95	4550	8	318	8	161	-1.0	-1.0
chr2	156873310	156873562	1110008F13Rik	252	+	0.00240938613032	125.382019777	81	19092	46	1649	34	0	-1.0	-1.0
chr12	55382238	55382495	1110008L16Rik	257	+	0.00912778904665	21.2138165663	65	2958	27	279	15	8	-1.0	-1.0
chrX	70389160	70389418	1110012L19Rik	258	+	0.0	20.1493239788	69	3078	0	265	0	1	-1.0	-1.0
chr3	4814661	4814911	1110015O18Rik	250	+	0	0	93	0	0	0	0	0	-1.0	-1.0
chr6	13896171	13896421	1110019D14Rik	250	+	0.0	0.152070369651	98	30	0	2	0	0	-1.0	-1.0
chr8	106594570	106594820	1110028F18Rik	250	+	0.0	0.836387033081	64	132	0	11	0	0	-1.0	-1.0
chr3	68871913	68872163	1110032F04Rik	250	+	0	0	82	0	0	0	0	0	-1.0	-1.0
chr2	132750804	132751055	1110034G24Rik	251	+	0.0	3.49761850198	80	534	0	46	0	0	-1.0	-1.0
chr9	64053850	64054100	1110036E04Rik	250	+	0	0	53	0	0	0	0	0	-1.0	-1.0
chr4	11527323	11527573	1110037F02Rik	250	+	0.0	2.43312591442	105	428	0	32	0	0	-1.0	-1.0
chr4	11549630	11549884	1110037F02Rik	254	+	0.0	10.7209610604	74	1719	0	141	0	0	-1.0	-1.0
chr4	11550893	11551143	1110037F02Rik	250	+	0	0	73	0	0	0	0	0	-1.0	-1.0
chr15	76950480	76950979	1110038F14Rik	499	+	0.000255819902788	53.9849812262	148	7818	2	710	1	390	-1.0	-1.0
chr13	33959931	33960181	1110046J04Rik	250	+	0	0	67	0	0	0	0	0	-1.0	-1.0
chr16	21805875	21806125	1300002E11Rik	250	+	0.0	2.35709072959	79	386	0	31	0	0	-1.0	-1.0
chr16	21808789	21809039	1300002E11Rik	250	+	0.0	1.82484443581	60	184	0	24	0	6	-1.0	-1.0
chr10	83762041	83762294	1500009L16Rik	253	+	0.00410557184751	12.0135592024	71	1705	7	158	7	55	-1.0	-1.0
chr10	83762511	83762762	1500009L16Rik	251	+	0.0015479876161	10.9490666149	86	1938	3	144	3	0	-1.0	-1.0
chr7	75318235	75318485	1500012K07Rik	250	+	0	0	69	0	0	0	0	0	-1.0	-1.0
chr7	75331169	75331419	1500012K07Rik	250	+	0	0	76	0	0	0	0	0	-1.0	-1.0
chr18	61728003	61728253	1500015A07Rik	250	+	0.0	0.912422217907	79	131	0	12	0	0	-1.0	-1.0
chr19	20422535	20422785	1500015L24Rik	250	+	0	0	78	0	0	0	0	0	-1.0	-1.0
chr1	43742314	43742564	1500015O10Rik	250	+	0	0	67	0	0	0	0	0	-1.0	-1.0
chr10	89700616	89700866	1500026H17Rik	250	+	0	0	91	0	0	0	0	0	-1.0	-1.0
chr10	80174864	80175119	1600002K03Rik	255	+	0.00241379310345	20.1493239788	57	2900	7	265	7	0	-1.0	-1.0
chr17	14944679	14944990	1600012H06Rik	311	+	0.0	6.15884997087	99	769	0	81	0	0	-1.0	-1.0
chr17	14945688	14945939	1600012H06Rik	251	+	0.00884955752212	3.11744257785	89	565	5	41	5	0	-1.0	-1.0
chr7	38196342	38196595	1600014C10Rik	253	+	0.000958772770853	6.91920181913	83	1043	1	91	1	0	-1.0	-1.0
chr7	38197315	38197565	1600014C10Rik	250	+	0.0	0.0760351848256	73	12	0	1	0	0	-1.0	-1.0
chr6	48933437	48933687	1600015I10Rik	250	+	0	0	53	0	0	0	0	0	-1.0	-1.0
chr6	86564199	86564449	1600020E01Rik	250	+	0.0	4.48607590471	79	474	0	59	0	0	-1.0	-1.0
chrX	56320414	56320664	1600025M17Rik	250	+	0	0	61	0	0	0	0	0	-1.0	-1.0
chr9	58208558	58208808	1600029O15Rik	250	+	0.0	3.11744257785	56	254	0	41	0	35	-1.0	-1.0
chr5	30483837	30484087	1700001C02Rik	250	+	0	0	53	0	0	0	0	0	-1.0	-1.0
chr18	17137309	17137559	1700001G01Rik	250	+	0	0	57	0	0	0	0	0	-1.0	-1.0
chr13	68613981	68614231	1700001L19Rik	250	+	0	0	92	0	0	0	0	0	-1.0	-1.0
chr6	83162725	83162975	1700003E16Rik	250	+	0	0	43	0	0	0	0	0	-1.0	-1.0
chr2	154549798	154550048	1700003F12Rik	250	+	0	0	37	0	0	0	0	0	-1.0	-1.0
