#slamdunk v0.2.4	3	sample info:	pulse_24h_R1_34507	24	chase	0
#annotation:	170614custom_mESCannotation_counting_Thomas.bed	5a451868b8f3be84e2040f5872bce883
Chromosome	Start	End	Name	Length	Strand	ConversionRate	ReadsCPM	Tcontent	CoverageOnTs	ConversionsOnTs	ReadCount	TcReadCount	multimapCount	ConversionRateLower	ConversionRateUpper
chr18	38262373	38262629	0610009O20Rik	256	+	0.0214465937763	16.7194069476	61	2378	51	233	45	0	-1.0	-1.0
chr2	175656519	175656769	0610010B08Rik	250	+	0.0166666666667	0.574056890904	72	60	1	8	1	8	-1.0	-1.0
chr2	175754078	175754328	0610010B08Rik	250	+	0.0	0.215271334089	72	21	0	3	0	3	-1.0	-1.0
chr6	72352897	72353160	0610030E20Rik	263	+	0.0112888052681	8.3238249181	77	1063	12	116	10	0	-1.0	-1.0
chr4	107896865	107897117	0610037L13Rik	252	+	0.0209330143541	11.9834375976	59	1672	35	167	34	0	-1.0	-1.0
chr4	107897552	107897803	0610037L13Rik	251	+	0.0357142857143	1.43514222726	69	196	7	20	6	0	-1.0	-1.0
chr8	77518328	77518578	0610038B21Rik	250	+	0	0	75	0	0	0	0	0	-1.0	-1.0
chr2	163645550	163645800	0610039K10Rik	250	+	0	0	73	0	0	0	0	0	-1.0	-1.0
chr5	63899369	63899619	0610040J01Rik	250	+	0	0	82	0	0	0	0	0	-1.0	-1.0
chr4	101398935	101399185	0610043K17Rik	250	+	0.0	0.287028445452	53	28	0	4	0	0	-1.0	-1.0
chr7	116104427	116104681	1110004F10Rik	254	+	0.0136157337368	4.09015534769	84	661	9	57	9	44	-1.0	-1.0
chr7	116104957	116105210	1110004F10Rik	253	+	0.0309493935592	11.5528949294	95	2391	74	161	57	75	-1.0	-1.0
chr2	156873310	156873562	1110008F13Rik	252	+	0.0208649912332	104.191325699	81	17110	357	1452	329	1	-1.0	-1.0
chr12	55382238	55382495	1110008L16Rik	257	+	0.0190336749634	9.83072425672	65	1366	26	137	23	1	-1.0	-1.0
chrX	70389160	70389418	1110012L19Rik	258	+	0.0214333556597	9.687210034	69	1493	32	135	30	0	-1.0	-1.0
chr3	4814661	4814911	1110015O18Rik	250	+	0	0	93	0	0	0	0	0	-1.0	-1.0
chr6	13896171	13896421	1110019D14Rik	250	+	0.0253164556962	0.358785556815	98	79	2	5	2	0	-1.0	-1.0
chr8	106594570	106594820	1110028F18Rik	250	+	0	0	64	0	0	0	0	0	-1.0	-1.0
chr3	68871913	68872163	1110032F04Rik	250	+	0.0714285714286	0.215271334089	82	42	3	3	3	0	-1.0	-1.0
chr2	132750804	132751055	1110034G24Rik	251	+	0.037542662116	1.9374420068	80	293	11	27	10	1	-1.0	-1.0
chr9	64053850	64054100	1110036E04Rik	250	+	0	0	53	0	0	0	0	0	-1.0	-1.0
chr4	11527323	11527573	1110037F02Rik	250	+	0.0283911671924	1.65041356135	105	317	9	23	9	0	-1.0	-1.0
chr4	11549630	11549884	1110037F02Rik	254	+	0.0194394213382	13.4185798249	74	2212	43	187	41	0	-1.0	-1.0
chr4	11550893	11551143	1110037F02Rik	250	+	0	0	73	0	0	0	0	0	-1.0	-1.0
chr15	76950480	76950979	1110038F14Rik	499	+	0.024226243449	68.3127700175	148	10113	245	952	224	444	-1.0	-1.0
chr13	33959931	33960181	1110046J04Rik	250	+	0	0	67	0	0	0	0	0	-1.0	-1.0
chr16	21805875	21806125	1300002E11Rik	250	+	0.00671140939597	1.72217067271	79	298	2	24	2	0	-1.0	-1.0
chr16	21808789	21809039	1300002E11Rik	250	+	0.0375939849624	0.932842447718	60	133	5	13	4	1	-1.0	-1.0
chr10	83762041	83762294	1500009L16Rik	253	+	0.0236541598695	9.54369581127	71	1226	29	133	29	47	-1.0	-1.0
chr10	83762511	83762762	1500009L16Rik	251	+	0.0254609306409	11.6964091522	86	2278	58	163	52	0	-1.0	-1.0
chr7	75318235	75318485	1500012K07Rik	250	+	0	0	69	0	0	0	0	0	-1.0	-1.0
chr7	75331169	75331419	1500012K07Rik	250	+	0	0	76	0	0	0	0	0	-1.0	-1.0
chr18	61728003	61728253	1500015A07Rik	250	+	0.0184210526316	2.29622756361	79	380	7	32	6	0	-1.0	-1.0
chr19	20422535	20422785	1500015L24Rik	250	+	0	0	78	0	0	0	0	0	-1.0	-1.0
chr1	43742314	43742564	1500015O10Rik	250	+	0.0	0.215271334089	67	21	0	3	0	0	-1.0	-1.0
chr10	89700616	89700866	1500026H17Rik	250	+	0	0	91	0	0	0	0	0	-1.0	-1.0
chr10	80174864	80175119	1600002K03Rik	255	+	0.0164787510841	8.39558202946	57	1153	19	117	19	0	-1.0	-1.0
