#slamdunk v0.2.4	3	sample info:	pulse_0h_R1_34330	1	pulse	0
#annotation:	170614custom_mESCannotation_counting_Thomas.bed	5a451868b8f3be84e2040f5872bce883
Chromosome	Start	End	Name	Length	Strand	ConversionRate	ReadsCPM	Tcontent	CoverageOnTs	ConversionsOnTs	ReadCount	TcReadCount	multimapCount	ConversionRateLower	ConversionRateUpper
chr18	38262373	38262629	0610009O20Rik	256	+	0.00257272907184	33.8721297195	61	5053	13	487	13	0	-1.0	-1.0
chr2	175656519	175656769	0610010B08Rik	250	+	0.0	0.695526277609	72	82	0	10	0	10	-1.0	-1.0
chr2	175754078	175754328	0610010B08Rik	250	+	0.0	0.139105255522	72	18	0	2	0	2	-1.0	-1.0
chr6	72352897	72353160	0610030E20Rik	263	+	0.00150602409639	3.89494715461	77	664	1	56	1	1	-1.0	-1.0
chr4	107896865	107897117	0610037L13Rik	252	+	0.000277932184547	31.3682351202	59	3598	1	451	1	2	-1.0	-1.0
chr4	107897552	107897803	0610037L13Rik	251	+	0.0019267822736	3.61673664357	69	519	1	52	1	0	-1.0	-1.0
chr8	77518328	77518578	0610038B21Rik	250	+	0.0	0.139105255522	75	15	0	2	0	0	-1.0	-1.0
chr2	163645550	163645800	0610039K10Rik	250	+	0	0	73	0	0	0	0	0	-1.0	-1.0
chr5	63899369	63899619	0610040J01Rik	250	+	0.0	0.208657883283	82	23	0	3	0	1	-1.0	-1.0
chr4	101398935	101399185	0610043K17Rik	250	+	0	0	53	0	0	0	0	0	-1.0	-1.0
chr7	116104427	116104681	1110004F10Rik	254	+	0.000755001887505	16.275314896	84	2649	2	234	2	195	-1.0	-1.0
chr7	116104957	116105210	1110004F10Rik	253	+	0.0	30.8118140981	95	5949	0	443	0	191	-1.0	-1.0
chr2	156873310	156873562	1110008F13Rik	252	+	0.000547439011873	177.498306046	81	29227	16	2552	16	2	-1.0	-1.0
chr12	55382238	55382495	1110008L16Rik	257	+	0.000394477317554	16.4839727793	65	2535	1	237	2	3	-1.0	-1.0
chrX	70389160	70389418	1110012L19Rik	258	+	0.00107596298687	27.6819458488	69	4647	5	398	5	2	-1.0	-1.0
chr3	4814661	4814911	1110015O18Rik	250	+	0	0	93	0	0	0	0	0	-1.0	-1.0
chr6	13896171	13896421	1110019D14Rik	250	+	0.0	0.208657883283	98	36	0	3	0	0	-1.0	-1.0
chr8	106594570	106594820	1110028F18Rik	250	+	0.0	0.0695526277609	64	13	0	1	0	0	-1.0	-1.0
chr3	68871913	68872163	1110032F04Rik	250	+	0.0	0.0695526277609	82	15	0	1	0	0	-1.0	-1.0
chr2	132750804	132751055	1110034G24Rik	251	+	0.0	4.17315766565	80	714	0	60	0	0	-1.0	-1.0
chr9	64053850	64054100	1110036E04Rik	250	+	0	0	53	0	0	0	0	0	-1.0	-1.0
chr4	11527323	11527573	1110037F02Rik	250	+	0.0	2.36478934387	105	413	0	34	0	0	-1.0	-1.0
chr4	11549630	11549884	1110037F02Rik	254	+	0.0	12.1021572304	74	2233	0	174	0	0	-1.0	-1.0
chr4	11550893	11551143	1110037F02Rik	250	+	0	0	73	0	0	0	0	0	-1.0	-1.0
chr15	76950480	76950979	1110038F14Rik	499	+	0.0	44.9309975335	148	7592	0	646	0	317	-1.0	-1.0
chr13	33959931	33960181	1110046J04Rik	250	+	0.0	0.0695526277609	67	11	0	1	0	0	-1.0	-1.0
chr16	21805875	21806125	1300002E11Rik	250	+	0.0	3.12986824924	79	557	0	45	0	0	-1.0	-1.0
chr16	21808789	21809039	1300002E11Rik	250	+	0.0	2.22568408835	60	237	0	32	0	3	-1.0	-1.0
chr10	83762041	83762294	1500009L16Rik	253	+	0.0	10.7111046752	71	1651	0	154	0	66	-1.0	-1.0
chr10	83762511	83762762	1500009L16Rik	251	+	0.00487465181058	7.23347328713	86	1436	7	104	7	1	-1.0	-1.0
chr7	75318235	75318485	1500012K07Rik	250	+	0	0	69	0	0	0	0	0	-1.0	-1.0
chr7	75331169	75331419	1500012K07Rik	250	+	0	0	76	0	0	0	0	0	-1.0	-1.0
chr18	61728003	61728253	1500015A07Rik	250	+	0.0	1.18239467193	79	180	0	17	0	0	-1.0	-1.0
chr19	20422535	20422785	1500015L24Rik	250	+	0	0	78	0	0	0	0	0	-1.0	-1.0
chr1	43742314	43742564	1500015O10Rik	250	+	0	0	67	0	0	0	0	0	-1.0	-1.0
chr10	89700616	89700866	1500026H17Rik	250	+	0	0	91	0	0	0	0	0	-1.0	-1.0
chr10	80174864	80175119	1600002K03Rik	255	+	0.0	15.0929202241	57	2304	0	217	0	1	-1.0	-1.0
chr17	14944679	14944990	1600012H06Rik	311	+	0.0	7.6507890537	99	1002	0	110	0	1	-1.0	-1.0
chr17	14945688	14945939	1600012H06Rik	251	+	0.00105374077977	5.07734182654	89	949	1	73	1	0	-1.0	-1.0
chr7	38196342	38196595	1600014C10Rik	253	+	0.000920810313076	6.60749963728	83	1086	1	95	1	2	-1.0	-1.0
chr7	38197315	38197565	1600014C10Rik	250	+	0.0	0.278210511043	73	46	0	4	0	0	-1.0	-1.0
chr6	48933437	48933687	1600015I10Rik	250	+	0	0	53	0	0	0	0	0	-1.0	-1.0
chr6	86564199	86564449	1600020E01Rik	250	+	0.00611620795107	3.40807876028	79	327	2	49	2	1	-1.0	-1.0
chrX	56320414	56320664	1600025M17Rik	250	+	0	0	61	0	0	0	0	0	-1.0	-1.0
chr9	58208558	58208808	1600029O15Rik	250	+	0.0	1.53015781074	56	156	0	22	1	18	-1.0	-1.0
chr5	30483837	30484087	1700001C02Rik	250	+	0	0	53	0	0	0	0	0	-1.0	-1.0
chr18	17137309	17137559	1700001G01Rik	250	+	0	0	57	0	0	0	0	0	-1.0	-1.0
chr13	68613981	68614231	1700001L19Rik	250	+	0	0	92	0	0	0	0	0	-1.0	-1.0
chr6	83162725	83162975	1700003E16Rik	250	+	0.0	0.208657883283	43	20	0	3	0	0	-1.0	-1.0
chr2	154549798	154550048	1700003F12Rik	250	+	0	0	37	0	0	0	0	0	-1.0	-1.0
chr1	56019953	56020203	1700003I22Rik	250	+	0.0	0.0695526277609	75	9	0	1	0	0	-1.0	-1.0
chr16	12848403	12848653	1700003L19Rik	250	+	0	0	65	0	0	0	0	0	-1.0	-1.0
chr13	118588379	118588629	1700003P14Rik	250	+	0	0	67	0	0	0	0	0	-1.0	-1.0
chr11	101992014	101992264	1700006E09Rik	250	+	0.0	0.0695526277609	63	6	0	1	0	1	-1.0	-1.0
chr14	119751314	119751564	1700006F04Rik	250	+	0.0	0.0695526277609	73	6	0	1	0	1	-1.0	-1.0
chr13	107691918	107692168	1700006H21Rik	250	+	0	0	59	0	0	0	0	0	-1.0	-1.0
chr8	75984257	75984507	1700007B14Rik	250	+	0	0	77	0	0	0	0	0	-1.0	-1.0
