#slamdunk v0.2.4	3	sample info:	pulse_0h_R3_34356	2	pulse	0
#annotation:	170614custom_mESCannotation_counting_Thomas.bed	5a451868b8f3be84e2040f5872bce883
Chromosome	Start	End	Name	Length	Strand	ConversionRate	ReadsCPM	Tcontent	CoverageOnTs	ConversionsOnTs	ReadCount	TcReadCount	multimapCount	ConversionRateLower	ConversionRateUpper
chr18	38262373	38262629	0610009O20Rik	256	+	0.00100401606426	24.3645159148	61	3984	4	394	4	5	-1.0	-1.0
chr2	175656519	175656769	0610010B08Rik	250	+	0.0	0.556549855922	72	72	0	9	0	9	-1.0	-1.0
chr2	175754078	175754328	0610010B08Rik	250	+	0.0	0.185516618641	72	25	0	3	2	3	-1.0	-1.0
chr6	72352897	72353160	0610030E20Rik	263	+	0.0	6.67859827106	77	1187	0	108	0	1	-1.0	-1.0
chr4	107896865	107897117	0610037L13Rik	252	+	0.0	29.4971423638	59	3839	0	477	0	0	-1.0	-1.0
chr4	107897552	107897803	0610037L13Rik	251	+	0.0	8.22457009306	69	1385	0	133	0	0	-1.0	-1.0
chr8	77518328	77518578	0610038B21Rik	250	+	0	0	75	0	0	0	0	0	-1.0	-1.0
chr2	163645550	163645800	0610039K10Rik	250	+	0	0	73	0	0	0	0	0	-1.0	-1.0
chr5	63899369	63899619	0610040J01Rik	250	+	0.0	0.309194364401	82	67	0	5	0	0	-1.0	-1.0
chr4	101398935	101399185	0610043K17Rik	250	+	0	0	53	0	0	0	0	0	-1.0	-1.0
chr7	116104427	116104681	1110004F10Rik	254	+	0.000296647878968	18.4898229912	84	3371	1	299	1	249	-1.0	-1.0
chr7	116104957	116105210	1110004F10Rik	253	+	0.000238530651189	58.6850903633	95	12577	3	949	3	467	-1.0	-1.0
chr2	156873310	156873562	1110008F13Rik	252	+	0.000488201790073	196.709454632	81	36870	18	3181	18	29	-1.0	-1.0
chr12	55382238	55382495	1110008L16Rik	257	+	0.0	26.6525542114	65	4409	0	431	0	19	-1.0	-1.0
chrX	70389160	70389418	1110012L19Rik	258	+	0.000813802083333	33.2693136095	69	6144	5	538	5	2	-1.0	-1.0
chr3	4814661	4814911	1110015O18Rik	250	+	0.0	0.0618388728802	93	6	0	1	0	1	-1.0	-1.0
chr6	13896171	13896421	1110019D14Rik	250	+	0.0	0.618388728802	98	130	0	10	0	0	-1.0	-1.0
chr8	106594570	106594820	1110028F18Rik	250	+	0.0	0.0618388728802	64	12	0	1	0	0	-1.0	-1.0
