#slamdunk v0.2.4	3	sample info:	chase_12h_R1_34525	42	chase	720
#annotation:	170614custom_mESCannotation_counting_Thomas.bed	5a451868b8f3be84e2040f5872bce883
Chromosome	Start	End	Name	Length	Strand	ConversionRate	ReadsCPM	Tcontent	CoverageOnTs	ConversionsOnTs	ReadCount	TcReadCount	multimapCount	ConversionRateLower	ConversionRateUpper
chr18	38262373	38262629	0610009O20Rik	256	+	0.00240632519766	18.8570367604	61	2909	7	286	7	0	-1.0	-1.0
chr2	175656519	175656769	0610010B08Rik	250	+	0.0	0.659336949665	72	71	0	10	0	10	-1.0	-1.0
chr2	175754078	175754328	0610010B08Rik	250	+	0	0	72	0	0	0	0	0	-1.0	-1.0
chr6	72352897	72353160	0610030E20Rik	263	+	0.0	9.49445207517	77	1631	0	144	0	0	-1.0	-1.0
chr4	107896865	107897117	0610037L13Rik	252	+	0.0	22.7471247634	59	3003	0	345	0	10	-1.0	-1.0
chr4	107897552	107897803	0610037L13Rik	251	+	0.0	2.57141410369	69	420	0	39	0	0	-1.0	-1.0
chr8	77518328	77518578	0610038B21Rik	250	+	0.0	0.461535864765	75	83	0	7	0	0	-1.0	-1.0
chr2	163645550	163645800	0610039K10Rik	250	+	0	0	73	0	0	0	0	0	-1.0	-1.0
chr5	63899369	63899619	0610040J01Rik	250	+	0.0	0.791204339598	82	168	0	12	0	0	-1.0	-1.0
chr4	101398935	101399185	0610043K17Rik	250	+	0	0	53	0	0	0	0	0	-1.0	-1.0
chr7	116104427	116104681	1110004F10Rik	254	+	0.00278810408922	5.93403254698	84	1076	3	90	3	63	-1.0	-1.0
chr7	116104957	116105210	1110004F10Rik	253	+	0.00291639662994	28.8789583953	95	6172	18	438	11	249	-1.0	-1.0
chr2	156873310	156873562	1110008F13Rik	252	+	0.001221480609	130.746517118	81	22923	28	1983	24	0	-1.0	-1.0
chr12	55382238	55382495	1110008L16Rik	257	+	0.00240384615385	15.5603520121	65	2496	6	236	6	11	-1.0	-1.0
chrX	70389160	70389418	1110012L19Rik	258	+	0.00157026956294	21.9559204238	69	3821	6	333	6	0	-1.0	-1.0
chr3	4814661	4814911	1110015O18Rik	250	+	0	0	93	0	0	0	0	0	-1.0	-1.0
chr6	13896171	13896421	1110019D14Rik	250	+	0	0	98	0	0	0	0	0	-1.0	-1.0
