#slamdunk v0.2.4	3	sample info:	chase_3h_R1_34519	36	chase	180
#annotation:	170614custom_mESCannotation_counting_Thomas.bed	5a451868b8f3be84e2040f5872bce883
Chromosome	Start	End	Name	Length	Strand	ConversionRate	ReadsCPM	Tcontent	CoverageOnTs	ConversionsOnTs	ReadCount	TcReadCount	multimapCount	ConversionRateLower	ConversionRateUpper
chr18	38262373	38262629	0610009O20Rik	256	+	0.0144362075693	16.9581527954	61	2563	37	249	35	0	-1.0	-1.0
chr2	175656519	175656769	0610010B08Rik	250	+	0.0	1.77073081398	72	225	0	26	0	26	-1.0	-1.0
chr2	175754078	175754328	0610010B08Rik	250	+	0.0	0.136210062614	72	15	0	2	0	2	-1.0	-1.0
chr6	72352897	72353160	0610030E20Rik	263	+	0.003600360036	7.49155344375	77	1111	4	110	4	0	-1.0	-1.0
chr4	107896865	107897117	0610037L13Rik	252	+	0.013698630137	15.0512119188	59	1825	25	221	25	0	-1.0	-1.0
chr4	107897552	107897803	0610037L13Rik	251	+	0.0380952380952	2.51988615835	69	420	16	37	16	0	-1.0	-1.0
chr8	77518328	77518578	0610038B21Rik	250	+	0	0	75	0	0	0	0	0	-1.0	-1.0
chr2	163645550	163645800	0610039K10Rik	250	+	0	0	73	0	0	0	0	0	-1.0	-1.0
chr5	63899369	63899619	0610040J01Rik	250	+	0	0	82	0	0	0	0	0	-1.0	-1.0
chr4	101398935	101399185	0610043K17Rik	250	+	0	0	53	0	0	0	0	0	-1.0	-1.0
chr7	116104427	116104681	1110004F10Rik	254	+	0.0155844155844	13.5529012301	84	2310	36	199	32	146	-1.0	-1.0
chr7	116104957	116105210	1110004F10Rik	253	+	0.0239062873536	21.316874799	95	4183	100	313	90	169	-1.0	-1.0
chr2	156873310	156873562	1110008F13Rik	252	+	0.0180272607357	118.911384662	81	20469	369	1746	354	0	-1.0	-1.0
chr12	55382238	55382495	1110008L16Rik	257	+	0.022261021388	14.7787917936	65	2291	51	217	51	0	-1.0	-1.0
chrX	70389160	70389418	1110012L19Rik	258	+	0.0125383115074	21.316874799	69	3589	45	313	45	0	-1.0	-1.0
chr3	4814661	4814911	1110015O18Rik	250	+	0	0	93	0	0	0	0	0	-1.0	-1.0
chr6	13896171	13896421	1110019D14Rik	250	+	0.0	0.136210062614	98	4	0	2	0	0	-1.0	-1.0
