#slamdunk v0.2.4	3	sample info:	chase_0.5h_R2_34514	31	chase	30
#annotation:	170614custom_mESCannotation_counting_Thomas.bed	5a451868b8f3be84e2040f5872bce883
Chromosome	Start	End	Name	Length	Strand	ConversionRate	ReadsCPM	Tcontent	CoverageOnTs	ConversionsOnTs	ReadCount	TcReadCount	multimapCount	ConversionRateLower	ConversionRateUpper
chr18	38262373	38262629	0610009O20Rik	256	+	0.0370179948586	21.030713126	61	1945	72	198	72	0	-1.0	-1.0
chr2	175656519	175656769	0610010B08Rik	250	+	0.030303030303	0.424862891434	72	33	1	4	1	4	-1.0	-1.0
chr2	175754078	175754328	0610010B08Rik	250	+	0.0	0.106215722859	72	6	0	1	0	1	-1.0	-1.0
chr6	72352897	72353160	0610030E20Rik	263	+	0.0330490405117	9.55941505727	77	938	31	90	24	0	-1.0	-1.0
chr4	107896865	107897117	0610037L13Rik	252	+	0.014440433213	18.1628886088	59	1385	20	171	14	0	-1.0	-1.0
chr4	107897552	107897803	0610037L13Rik	251	+	0.0	0.849725782868	69	94	0	8	0	0	-1.0	-1.0
chr8	77518328	77518578	0610038B21Rik	250	+	0	0	75	0	0	0	0	0	-1.0	-1.0
chr2	163645550	163645800	0610039K10Rik	250	+	0	0	73	0	0	0	0	0	-1.0	-1.0
chr5	63899369	63899619	0610040J01Rik	250	+	0	0	82	0	0	0	0	0	-1.0	-1.0
chr4	101398935	101399185	0610043K17Rik	250	+	0	0	53	0	0	0	0	0	-1.0	-1.0
chr7	116104427	116104681	1110004F10Rik	254	+	0.0340050377834	7.4351006001	84	794	27	70	20	54	-1.0	-1.0
chr7	116104957	116105210	1110004F10Rik	253	+	0.0310861423221	20.1809873431	95	2670	83	190	70	105	-1.0	-1.0
chr2	156873310	156873562	1110008F13Rik	252	+	0.0237763384439	107.702742979	81	12197	290	1014	268	2	-1.0	-1.0
chr12	55382238	55382495	1110008L16Rik	257	+	0.012912482066	13.5956125259	65	1394	18	128	18	9	-1.0	-1.0
chrX	70389160	70389418	1110012L19Rik	258	+	0.0167800453515	23.1550275832	69	2205	37	218	37	0	-1.0	-1.0
chr3	4814661	4814911	1110015O18Rik	250	+	0.0	0.424862891434	93	36	0	4	0	4	-1.0	-1.0
chr6	13896171	13896421	1110019D14Rik	250	+	0	0	98	0	0	0	0	0	-1.0	-1.0
chr8	106594570	106594820	1110028F18Rik	250	+	0	0	64	0	0	0	0	0	-1.0	-1.0
chr3	68871913	68872163	1110032F04Rik	250	+	0.0357142857143	0.212431445717	82	28	1	2	1	0	-1.0	-1.0
chr2	132750804	132751055	1110034G24Rik	251	+	0.0132625994695	3.39890313147	80	377	5	32	5	0	-1.0	-1.0
chr9	64053850	64054100	1110036E04Rik	250	+	0	0	53	0	0	0	0	0	-1.0	-1.0
chr4	11527323	11527573	1110037F02Rik	250	+	0.0365853658537	1.59323584288	105	164	6	15	7	0	-1.0	-1.0
chr4	11549630	11549884	1110037F02Rik	254	+	0.0336817653891	7.85996349153	74	861	29	74	29	0	-1.0	-1.0
chr4	11550893	11551143	1110037F02Rik	250	+	0	0	73	0	0	0	0	0	-1.0	-1.0
chr15	76950480	76950979	1110038F14Rik	499	+	0.0268675260134	63.6232179923	148	6439	173	599	167	257	-1.0	-1.0
chr13	33959931	33960181	1110046J04Rik	250	+	0	0	67	0	0	0	0	0	-1.0	-1.0
chr16	21805875	21806125	1300002E11Rik	250	+	0.0228310502283	1.91188301145	79	219	5	18	5	0	-1.0	-1.0
chr16	21808789	21809039	1300002E11Rik	250	+	0.0	3.29268740861	60	228	0	31	0	13	-1.0	-1.0
chr10	83762041	83762294	1500009L16Rik	253	+	0.0270676691729	21.030713126	71	1995	54	198	58	60	-1.0	-1.0
chr10	83762511	83762762	1500009L16Rik	251	+	0.0239664469742	12.6396710202	86	1669	40	119	28	0	-1.0	-1.0
chr7	75318235	75318485	1500012K07Rik	250	+	0	0	69	0	0	0	0	0	-1.0	-1.0
chr7	75331169	75331419	1500012K07Rik	250	+	0	0	76	0	0	0	0	0	-1.0	-1.0
chr18	61728003	61728253	1500015A07Rik	250	+	0.0857142857143	1.16837295144	79	105	9	11	9	0	-1.0	-1.0
chr19	20422535	20422785	1500015L24Rik	250	+	0	0	78	0	0	0	0	0	-1.0	-1.0
chr1	43742314	43742564	1500015O10Rik	250	+	0	0	67	0	0	0	0	0	-1.0	-1.0
chr10	89700616	89700866	1500026H17Rik	250	+	0	0	91	0	0	0	0	0	-1.0	-1.0
chr10	80174864	80175119	1600002K03Rik	255	+	0.0182841068917	7.4351006001	57	711	13	70	13	0	-1.0	-1.0
chr17	14944679	14944990	1600012H06Rik	311	+	0.0187393526405	6.69159054009	99	587	11	63	11	0	-1.0	-1.0
chr17	14945688	14945939	1600012H06Rik	251	+	0.0238726790451	6.37294337151	89	754	18	60	18	0	-1.0	-1.0
chr7	38196342	38196595	1600014C10Rik	253	+	0.0126126126126	5.09835469721	83	555	7	48	7	0	-1.0	-1.0
chr7	38197315	38197565	1600014C10Rik	250	+	0	0	73	0	0	0	0	0	-1.0	-1.0
chr6	48933437	48933687	1600015I10Rik	250	+	0.0	0.106215722859	53	4	0	1	0	0	-1.0	-1.0
chr6	86564199	86564449	1600020E01Rik	250	+	0.0031746031746	4.99213897435	79	315	1	47	1	0	-1.0	-1.0
chrX	56320414	56320664	1600025M17Rik	250	+	0	0	61	0	0	0	0	0	-1.0	-1.0
chr9	58208558	58208808	1600029O15Rik	250	+	0.0	2.65539307146	56	165	0	25	0	25	-1.0	-1.0
chr5	30483837	30484087	1700001C02Rik	250	+	0	0	53	0	0	0	0	0	-1.0	-1.0
chr18	17137309	17137559	1700001G01Rik	250	+	0	0	57	0	0	0	0	0	-1.0	-1.0
chr13	68613981	68614231	1700001L19Rik	250	+	0.0	0.318647168576	92	36	0	3	0	0	-1.0	-1.0
chr6	83162725	83162975	1700003E16Rik	250	+	0	0	43	0	0	0	0	0	-1.0	-1.0
chr2	154549798	154550048	1700003F12Rik	250	+	0	0	37	0	0	0	0	0	-1.0	-1.0
chr1	56019953	56020203	1700003I22Rik	250	+	0	0	75	0	0	0	0	0	-1.0	-1.0
chr16	12848403	12848653	1700003L19Rik	250	+	0	0	65	0	0	0	0	0	-1.0	-1.0
chr13	118588379	118588629	1700003P14Rik	250	+	0	0	67	0	0	0	0	0	-1.0	-1.0
chr11	101992014	101992264	1700006E09Rik	250	+	0	0	63	0	0	0	0	0	-1.0	-1.0
chr14	119751314	119751564	1700006F04Rik	250	+	0	0	73	0	0	0	0	0	-1.0	-1.0
chr13	107691918	107692168	1700006H21Rik	250	+	0	0	59	0	0	0	0	0	-1.0	-1.0
chr8	75984257	75984507	1700007B14Rik	250	+	0	0	77	0	0	0	0	0	-1.0	-1.0
chr5	98801769	98802019	1700007G11Rik	250	+	0	0	69	0	0	0	0	0	-1.0	-1.0
chr1	187127602	187127852	1700007P06Rik	250	+	0	0	63	0	0	0	0	0	-1.0	-1.0
chr10	77895861	77896111	1700009J07Rik	250	+	0	0	49	0	0	0	0	0	-1.0	-1.0
chr4	39451528	39451778	1700009N14Rik	250	+	0	0	73	0	0	0	0	0	-1.0	-1.0
chr2	173721836	173722086	1700010B08Rik	250	+	0	0	90	0	0	0	0	0	-1.0	-1.0
chr17	9008069	9008319	1700010I14Rik	250	+	0.333333333333	0.424862891434	93	12	4	4	4	0	-1.0	-1.0
chr10	112785349	112785599	1700010J16Rik	250	+	0	0	87	0	0	0	0	0	-1.0	-1.0
chr16	66664376	66664626	1700010K23Rik	250	+	0	0	68	0	0	0	0	0	-1.0	-1.0
chr13	35187764	35188014	1700011B04Rik	250	+	0	0	61	0	0	0	0	0	-1.0	-1.0
chr7	72027067	72027317	1700011C11Rik	250	+	0	0	66	0	0	0	0	0	-1.0	-1.0
chr18	57730815	57731065	1700011I03Rik	250	+	0	0	46	0	0	0	0	0	-1.0	-1.0
chr6	32058665	32058915	1700012A03Rik	250	+	0	0	50	0	0	0	0	0	-1.0	-1.0
chr6	30463063	30463313	1700012C14Rik	250	+	0.0	0.106215722859	76	10	0	1	0	0	-1.0	-1.0
chr10	127668601	127668851	1700012D01Rik	250	+	0.0	0.424862891434	79	28	0	4	0	0	-1.0	-1.0
chr15	67376844	67377094	1700012I11Rik	250	+	0	0	71	0	0	0	0	0	-1.0	-1.0
chr3	108544447	108544697	1700013F07Rik	250	+	0	0	67	0	0	0	0	0	-1.0	-1.0
chr4	137455211	137455461	1700013G24Rik	250	+	0	0	55	0	0	0	0	0	-1.0	-1.0
chr1	177753055	177753305	1700016C15Rik	250	+	0	0	76	0	0	0	0	0	-1.0	-1.0
