"","d","tau","tau_all","mu1","mu2","points","d.min","d.max"
"chr18-38262373-38262629",0.180607823354865,5.53685871090515,11.4024817805717,180.682877271866,52.2022287658335,"0-6",0.11165352347679,0.250721518337947
"chr7-116104957-116105210",0.157757414013736,6.33884629924858,5.26270676676755,184.394165938002,74.6992688827329,"0-6",0.0963168793045848,0.2195775570757
"chr2-156873310-156873562",0.151929649456397,6.58199372918975,6.13129419483251,1149.27806097708,384.633883265491,"0-6",0.100538730886518,0.202984331541692
"chrX-70389160-70389418",0.289442546970183,3.45491708274325,8.77752744199611,175.570721798938,46.8024419739381,"0-6",0.206871163956779,0.376486313456919
"chr15-76950480-76950979",0.330278114935395,3.0277513246544,4.59509650577665,605.029232703992,183.803257213573,"0-6",0.268480439733456,0.392664134054529
"chr10-83762511-83762762",0.0757089493015412,13.2084781155409,9.54211837936891,115.206309183254,38.5917257830968,"0-6",0.00984599956011235,0.141992963946702
"chr10-80174864-80175119",0.111353395748134,8.98041764493522,5.3335135162985,113.791689298205,21.6016317052043,"0-6",0.0291410630420422,0.195161314102003
"chr17-14944679-14944990",0.519738386859836,1.92404491429201,2.57761163291959,83.2391641705968,20.8539918164262,"0-6",0.347023482404455,0.758473689733584
"chr15-81981313-81981563",0.126723207619606,7.89121439382888,5.96607428179703,221.280204994525,92.9943039250614,"0-6",0.0691889660054019,0.18437502952295
"chr17-56888588-56888905",0.0942166756254479,10.6138323535786,8.4485484097572,311.041088076739,70.6999473180384,"0-6",0.0338016536450857,0.154771632434653
"chr14-54690492-54690742",0.44447976485935,2.24982120460857,2.9296084073009,133.71773120619,93.094322086069,"0-6",0.360256294784406,0.535375689959685
"chr19-8890509-8890759",0.15423235278544,6.48372395246506,5.09280208296417,654.81532325702,121.745913433174,"0-6",0.0961467781290538,0.212473101272367
"chr16-8857950-8858200",0.527139920658296,1.89702953771969,4.35518431487221,334.370978192635,102.435903794171,"0-6",0.430560193820751,0.634980919698976
"chr3-122925493-122925748",0.141711572118537,7.05658673494591,7.25849028965226,642.482569290277,324.549323572576,"0-6",0.0911674324786373,0.191898228946396
"chrX-153741045-153741296",0.0707562816530452,14.1330207952916,7.78529362359506,338.489556498235,87.9672905129158,"0-6",0.0134254208924908,0.128143940117151
"chr7-27581371-27581621",0.38593963212714,2.59107880289053,5.29517469704184,92.6509389430407,31.2635364655866,"0-6",0.274732628726718,0.513426080959726
"chr7-27581846-27582098",0.449887183248203,2.2227794816913,4.07017400082477,160.154178817246,50.5524316563809,"0-6",0.34358522183677,0.571053071438163
"chr11-59210484-59210738",0.264359906138679,3.78272187566679,4.07398385802951,216.750611451681,79.3958127929914,"0-6",0.195515660385542,0.334722584643588
"chr1-105754872-105755131",0.592789543249526,1.68693933856904,2.02946446655692,70.3699602267992,21.4018594425088,"0-6",0.393073812431687,0.896666835140248
"chr8-85030030-85030286",0.172265480328359,5.80499353726515,6.6777975398658,1134.08563886154,419.351202512592,"0-6",0.120663008493212,0.223836694377423
"chr17-46773138-46773407",0.149253217973696,6.70002304524006,6.56873648301535,163.932213126836,44.7332597430341,"0-6",0.0801147660251038,0.219368924034793
"chr7-44252068-44252319",0.456266847509362,2.19169989110261,3.41126043416204,1048.28077114106,364.704888628592,"0-6",0.394612168483181,0.518680635948767
"chr11-97622643-97622893",0.151089345843627,6.61860036798999,6.54008715725948,140.740738794202,29.9883300536086,"0-6",0.0732397541190248,0.230804794142923
"chr3-145944025-145944276",0.376609860850545,2.65526770260761,4.74297562009456,221.466457980206,82.8256164754767,"0-6",0.297769442220074,0.459755003992213
"chr11-62604556-62604806",0.120875324315263,8.27298711018831,5.74251606143271,858.354272135498,237.263927182812,"0-6",0.0680452062675765,0.173612016111431
"chr5-118261267-118261517",0.41732945258875,2.39618841612272,3.85422248298573,82.7212662777579,32.4590897877554,"0-6",0.301462719212207,0.551596472085944
"chr4-147947064-147947315",0.27502039934703,3.63609391293977,5.0692730446492,892.932221958805,424.71311830965,"0-6",0.220440175392586,0.329809895885243
"chr7-41628282-41628532",0.381869074517882,2.61869857165711,6.77527120369357,95.4610032846724,52.8308168086203,"0-6",0.290758309938456,0.481579364217446
