"","d","tau","tau_all","mu1","mu2","points","d.min","d.max"
"chr18-38262373-38262629",0.0695708854586404,14.3738288424473,11.4024817805717,193.2751913925,53.1752461171928,"0-24",0.0477063457937699,0.0921149984490783
"chr7-116104957-116105210",0.198666049461215,5.03357268497569,5.26270676676755,190.774412517161,75.8722788208991,"0-24",0.148435124473663,0.274777396833017
"chr2-156873310-156873562",0.149956498239794,6.66860063910607,6.13129419483251,1184.53900980075,389.135529361928,"0-24",0.129280828753511,0.171307328331636
"chrX-70389160-70389418",0.0746973484467133,13.3873560547249,8.77752744199611,206.927221786429,49.4867126980978,"0-24",0.051914758698167,0.0984417341317563
"chr15-76950480-76950979",0.153113716606278,6.53109350464947,4.59509650577665,563.084557315446,178.85208448011,"0-24",0.127487186570209,0.181204906165668
"chr10-83762511-83762762",0.0827410615986542,12.0858976266297,9.54211837936891,113.899393340254,38.5797685975327,"0-24",0.0572915668918733,0.11011293834904
"chr10-80174864-80175119",1.88603760939714,0.530212120382713,5.3335135162985,115.49594243817,21.3928312465349,"0-24",0.146281773205519,NA
"chr17-14944679-14944990",0.171053846579629,5.84611232074503,2.57761163291959,74.8602301056049,19.8811723800618,"0-24",0.105894868938386,0.291315675605645
"chr15-81981313-81981563",0.130172194090049,7.68213217108588,5.96607428179703,286.333015991176,100.969711388403,"0-24",0.103771527495945,0.159041752517538
"chr17-56888588-56888905",0.0991987137835586,10.0807758675369,8.4485484097572,494.424009032849,75.5793093538165,"0-24",0.0755460481916694,0.124197291220634
"chr14-54690492-54690742",0.21064529595984,4.74731702620433,2.9296084073009,149.130423493388,100.026027602745,"0-24",0.160513421702295,0.286742190083659
"chr19-8890509-8890759",0.189437077542358,5.2787976513014,5.09280208296417,673.88319834413,122.527665955521,"0-24",0.150358435736423,0.240337822806192
"chr16-8857950-8858200",0.146309072279164,6.83484615425594,4.35518431487221,301.178970881339,98.5186753827378,"0-24",0.116782020254748,0.180272549959329
"chr3-122925493-122925748",0.128475186694137,7.78360417860856,7.25849028965226,596.425682519407,311.18286688996,"0-24",0.109158354989683,0.1481048318907
"chrX-153741045-153741296",0.165921888113717,6.02693237985957,7.78529362359506,322.116676101852,86.7351993976275,"0-24",0.129748869380189,0.211187620359898
"chr7-27581371-27581621",0.101895731104602,9.81395382475288,5.29517469704184,88.0107253810762,30.3750103894336,"0-24",0.0704780261319805,0.138279881958134
"chr7-27581846-27582098",0.161619946458969,6.18735510009509,4.07017400082477,139.371989840608,47.5665497140976,"0-24",0.118144705924124,0.221438268516862
"chr11-59210484-59210738",0.225991654172675,4.42494216727103,4.07398385802951,180.241818631261,73.4190274669105,"0-24",0.161571168534748,0.346044401763632
"chr1-105754872-105755131",1.67522762848177,0.596933803501249,2.02946446655692,90.0022160232173,22.8829271068573,"0-24",0.149953402329837,NA
"chr8-85030030-85030286",0.125221702766738,7.9858361442568,6.6777975398658,1089.01126097235,413.035890857844,"0-24",0.106722583277293,0.143846754501175
"chr17-46773138-46773407",0.13010610614314,7.68603434261435,6.56873648301535,161.280208936755,44.3614471093134,"0-24",0.09588760454289,0.171541953331538
"chr7-44252068-44252319",0.20449854939437,4.89001023704833,3.41126043416204,975.130809003961,354.204913167172,"0-24",0.174104571865897,0.240126435108734
"chr11-97622643-97622893",5,0.2,6.54008715725948,145.811200040512,30.4137153975374,"0-24",0.160295400790793,NA
"chr3-145944025-145944276",0.162473362282982,6.15485508484946,4.74297562009456,208.860717014075,80.542259486153,"0-24",0.126425038028486,0.20764682221234
"chr11-62604556-62604806",0.148814763679446,6.71976338418981,5.74251606143271,690.167391850603,219.108156935976,"0-24",0.12541542941594,0.173836229648747
"chr5-118261267-118261517",0.146121665910042,6.84361209388097,3.85422248298573,49.3344182554952,23.7847106928035,"0-24",0.0954366970352807,0.222411007513476
"chr4-147947064-147947315",0.165208361841718,6.05296238551217,5.0692730446492,742.591910670777,391.111561205537,"0-24",0.142766449646465,0.188849652474827
"chr7-41628282-41628532",0.100540970175802,9.94619405652676,6.77527120369357,91.8303169452419,51.6021439923088,"0-24",0.0746139848289741,0.128879129135707
"chr11-78290367-78290625",0.15058823742972,6.64062490582442,6.289193620105,1463.12381295025,421.455706511917,"0-24",0.130210028200721,0.171571682324035
"chr1-157419986-157420236",0.12846638832024,7.78413726014627,8.11702216463363,394.454284638993,106.127845749825,"0-24",0.103111807522031,0.15603443297366
"chr3-88712604-88712933",0.136040511840419,7.35075152593543,6.36035919780004,757.244849525336,354.007971121723,"0-24",0.116316204756866,0.156224436825273
"chr6-149335406-149335663",0.169691613078736,5.89304316139659,4.29840471837802,278.552814131999,133.700797070872,"0-24",0.137718730360154,0.207789188745449
"chr13-119485860-119486118",0.105753271056356,9.45597228351548,6.90328946053975,200.852977682441,72.4973573618629,"0-24",0.0812923664614855,0.131920756532379
"chr12-113164295-113164545",0.159580322490692,6.26643676608894,3.63777000169178,31.7441454136325,15.8857402535488,"0-24",0.0946323042229498,0.279815792409142
"chr9-58469373-58469623",0.100528920699834,9.94738621521529,4.91711697963695,103.876503419848,28.8810646195655,"0-24",0.0689765338674181,0.137013953739514
"chr3-37052783-37053033",0.220427817945826,4.53663248731051,4.44647199224138,102.719025443142,64.2378677077463,"0-24",0.156084184357699,0.340462545767006
"chr3-90062188-90062438",0.146005710092127,6.84904720075002,3.66277960445895,204.505956204757,53.0589338017632,"0-24",0.109515657109036,0.191495618198237
"chr5-48388586-48388844",1.43427804033176,0.697214885733514,3.1875457162287,160.834559626262,70.682918396314,"0-24",0.195565321944258,NA
"chr4-156127011-156127264",0.20753982083409,4.81835242981833,3.39401690349461,259.763179952289,47.9325698658426,"0-24",0.142964662051225,0.327635449685925
"chr11-52408473-52408725",0.15961876297557,6.26492763982298,3.45011611508416,92.6302838055766,31.3036067850347,"0-24",0.109104664266231,0.235867526570599
"chr4-153961674-153961924",0.181592899954016,5.50682323071677,4.44605568863298,540.275307518779,227.943180016605,"0-24",0.152225684374022,0.215456554587016
"chrX-159592706-159593081",0.208752281818802,4.79036679880705,3.43704330579355,175.711495005804,97.3657336074911,"0-24",0.15877292241696,0.284771707945814
"chr11-83294387-83294637",0.147097651238555,6.79820508063892,5.0616024191203,314.817536160314,100.277341354698,"0-24",0.117559415008668,0.181062164152455
"chr5-125517153-125517412",2.44976832374317,0.408201865583775,4.27632615119447,118.02723665924,52.5991881228269,"0-24",0.181902316639039,NA
"chr9-63641639-63641897",0.123729345507557,8.08215703314231,6.10539035727472,240.133219806664,96.4652624279426,"0-24",0.0985368997080222,0.151125504228121
"chr6-87002971-87003227",0.180289597072243,5.54663173160953,4.2597297407019,162.732044759358,72.0717873936291,"0-24",0.136684075804964,0.240179421227382
"chr2-156567903-156568156",0.120263507619319,8.31507428808242,6.48878961084187,173.668354806863,58.8444875474616,"0-24",0.0914891601613752,0.152874106416885
"chr15-52045470-52045722",1.29594656183624,0.771636755286492,3.73570831001906,69.9936328871709,28.0621246897507,"0-24",0.15672282017979,NA
"chr8-111055315-111055569",0.161436038326572,6.19440374259608,6.0761534330372,668.967755822632,138.991055281005,"0-24",0.131553327480299,0.195729269398421
"chr16-14474601-14474878",0.194041840689197,5.15352769510021,3.93286848484031,48.4198850916409,34.0710029510545,"0-24",0.1295768268604,0.314115756972647
"chr6-58692198-58692451",0.137328889950726,7.28178899835861,5.56374081582332,99.7607680061555,42.4416141865031,"0-24",0.100744081881162,0.182849277751158
"chr5-135011919-135012175",0.1651100993562,6.05656470378986,5.16943132731796,268.077205561976,50.7030847461711,"0-24",0.121424816853131,0.225051779779098
"chr8-9988797-9989050",0.130470887167549,7.66454510818045,4.05213145915062,85.7147230248734,37.5339604032588,"0-24",0.0941046993377406,0.175834439019047
"chr17-35102735-35102987",0.095678626721262,10.4516550275463,6.35321210504373,52.97834357307,21.4857115579002,"0-24",0.062308047100773,0.134737923492814
"chr19-21685384-21685640",0.128951662397828,7.75484380274915,4.14326173661775,118.948928818133,49.1804371022056,"0-24",0.0964264401183918,0.167474448592598
"chr7-79365255-79365505",0.156443050460667,6.39210241078381,5.10840270731101,168.866503254151,40.7137033752335,"0-24",0.112548080817934,0.216511937548432
"chr14-54268914-54269169",0.136750053914071,7.31261137658024,5.7117070380516,249.544711438475,95.9186148026253,"0-24",0.109055888160666,0.167847358396791
"chr14-8055778-8056028",0.127265570116613,7.85758472683308,5.06659647357622,71.3425348643792,14.1086758756973,"0-24",0.0756464077008251,0.203960686071485
"chr2-31803284-31803538",0.117103218355859,8.53947495244026,5.80051784566784,87.6467832005863,26.8191605265368,"0-24",0.0802443615144988,0.162790933012397
"chr1-156649316-156649619",0.112937688006405,8.8544401576849,6.17911880574836,221.956960872707,74.2881354887597,"0-24",0.0873639684026866,0.140753308651954
"chr9-119350045-119350299",0.125695226312968,7.9557516170909,7.15444824650377,269.950700038667,59.6361789513816,"0-24",0.0958224386740293,0.159940982264656
"chr11-84401395-84401651",0.200646363250144,4.98389297369575,5.18069948896614,182.914852406382,39.6559619688922,"0-24",0.135851900201477,0.320821593515107
"chr7-131445950-131446211",0.116714951576636,8.56788257623867,8.48579757133271,101.186979746523,56.7294188306298,"0-24",0.0885797269714829,0.148218472258865
"chr1-180753953-180754207",0.170424960122748,5.8676851048095,2.54642280447564,70.0467500339421,38.7749341298383,"0-24",0.120140095452181,0.24656088355757
"chr1-155572037-155572287",4.62137309816646,0.216385904959016,6.184498395409,114.642951931317,16.5296303731257,"0-24",0.13522492672061,NA
"chr4-86932240-86932620",1.27628829750233,0.783522031783086,1.66820822763461,104.519680295765,13.2079854171404,"0-24",0.124940982976624,NA
"chr4-40198081-40198334",0.153905058185183,6.49751224418348,5.68919281881174,152.22326204168,65.2860556653109,"0-24",0.117728640764118,0.199167861994019
"chr15-81914787-81915137",0.101559841419389,9.84641159363889,10.6475808068622,1579.97961902606,380.47652376493,"0-24",0.0837841574683472,0.119510961415639
"chr4-152271597-152271855",0.13369875980763,7.47950094255798,8.48525131018452,264.764788427629,56.4369823514449,"0-24",0.101228956715162,0.172164024569866
"chrX-155297403-155297654",0.0823837428234478,12.1383171694814,12.4107420684782,520.979441143908,191.428094788987,"0-24",0.0644684608129488,0.100362115065047
"chr3-97176267-97176576",0.134412980872355,7.43975762987988,6.94063008300799,353.506956682195,97.2303498415917,"0-24",0.107190033013586,0.164656786122004
"chr1-78706727-78706977",0.165720431975479,6.03425895092989,4.88148316597939,372.5867186406,224.877298359046,"0-24",0.139744378509687,0.194476213255164
"chr3-32726719-32726971",0.161478890546851,6.19275991192088,5.74104369439048,2456.99704560444,950.96371587948,"0-24",0.142847893046787,0.180369165731086
"chr12-70961814-70962284",0.166422922946102,6.00878762551156,6.04435106452353,724.491363843444,209.913055619046,"0-24",0.139516049139519,0.196431704200886
"chr5-25850218-25850691",0.176737864760428,5.6580970996539,4.23886270748332,261.055015137274,68.0459686352125,"0-24",0.133357328947938,0.236497401188647
"chr2-158638947-158639211",0.174850468613452,5.71917254743386,4.90804884879323,165.17073074153,41.7336210191238,"0-24",0.124015751315258,0.251248440399093
"chr14-29992896-29993221",0.192078099550767,5.20621560885287,4.07832990481049,215.94230290205,65.95781727725,"0-24",0.141880579950199,0.26817306751236
"chr15-101213428-101213681",0.128146736517226,7.80355416905664,3.94484804555635,55.1023242105451,13.9055012266097,"0-24",0.0764594856269034,0.20488246741689
"chr9-70779978-70780229",0.182557811938453,5.47771683600774,6.10423142868433,38.5060682884561,23.9418354581091,"0-24",0.117476600558046,0.302794003291734
"chr3-89753195-89753455",0.0886051367231597,11.2860273905386,7.74227102885903,132.92653066801,24.5175400123923,"0-24",0.0577876022919186,0.123510947661004
